"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q2",5.704367,
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q3",5.668702,
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q4",5.716777,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q1",5.7865,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q2",5.60898,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q3",5.536902,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q4",5.455117,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q2",6.169813,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q3",6.147885,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q4",5.786056,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q1",5.665127,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q2",5.452914,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q3",5.460666,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q4",5.419,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q2",8.295185,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q3",7.692155,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q4",7.146364,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q1",7.608029,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q2",7.356059,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q3",7.059406,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.327773,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q2",6.933333,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q3",7,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q4",6.866667,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q1",6.633333,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q2",6.466667,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q3",6.233333,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q4",5.966667,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q1",5.833333,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q2",4.055272,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q3",3.947794,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q4",3.624538,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q1",3.317088,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q2",3.056564,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q3",2.750971,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q4",2.435675,
"DNK","UNEMP","TOT","PC_LF","Q","2016-Q2",6.155447,
"DNK","UNEMP","TOT","PC_LF","Q","2016-Q3",6.280533,
"DNK","UNEMP","TOT","PC_LF","Q","2016-Q4",6.386795,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q1",6.040455,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q2",5.704454,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q3",5.842176,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q4",5.381249,
"FIN","UNEMP","TOT","PC_LF","Q","2016-Q2",8.831605,
"FIN","UNEMP","TOT","PC_LF","Q","2016-Q3",8.617969,
